project_id,option_id,total_pv_kwp,total_inverter_kw,total_battery_kwh
24e9ca0327f50571,ddc4b2222fe4bcc5,0.0,0.0,10.0
24fb254df1b30918,0c0fce714fb97df2,0.0,0.0,7.0
25022f005eb1c5c3,1e30ff4865781366,0.0,0.0,10.0
2550d3a27fd2acb0,52d732a32d00f178,0.0,0.0,5.0
258b750e695c6f92,86ee22826813353f,0.0,0.0,10.0
25c8ec111130a3b1,a1f3d9220475e6fd,0.0,0.0,10.0
25cc1c846a237f90,25449bb808392e90,0.0,0.0,10.0
2644a7e959103a04,6d366bfe9872d2d5,0.0,0.0,10.0
264d04493c88254b,484c8cbbbfdf8b7d,0.0,0.0,7.0
26ce8c33dcb4a126,a8c3bbb8c0aa3658,0.0,0.0,10.0
2710f5ab6a68490c,81b5b0ff36f7aec3,0.0,0.0,10.0
272068dca8045bd0,af1e384bc8fc663b,0.0,0.0,7.0
2759dcabe5286efc,65828f007834c5e0,0.0,0.0,5.0
276390811a49e4e1,f5971427bbc8ed5f,0.0,0.0,5.0
2783b5604b60ff8f,8a2256c095f5ff23,0.0,0.0,7.0
27fe1ddbab597466,90be3f80860a24f0,0.0,0.0,7.0
28121a98bdd40e7b,0c744cfec2d5c51c,0.0,0.0,10.0
28325884155dc2f7,2e49442a3f753b42,0.0,0.0,15.0
2836697e2a37df68,c5e4a80457f50a7d,0.0,0.0,10.0
283f1ea19eeef2ee,b3ccab8022dc4ff5,0.0,0.0,14.0
286d743bc670c8c0,eeecc21e4b0dcab9,0.0,0.0,10.0
28b5879958ce1940,21624fa0f19e0583,0.0,0.0,10.0
28d8f835487a2074,f50fedf8116ccd26,0.0,0.0,5.0
291d53bf4159fdb8,0aea256edebbf8f9,0.0,0.0,10.0
293d047bf3027806,f4cf02457c53d957,0.0,0.0,11.98
29639a29dc6b3c59,59ec121626e9ecdd,0.0,0.0,5.0
297a8de6d8e86252,05b38e5566ad4104,0.0,0.0,5.0
297be54c5e7e4aad,1a659d6e5c393a7a,0.0,0.0,5.0
29814540c9ed0930,c5ff2bcb403f69c6,0.0,0.0,11.98
29c66cc4069f9172,32ea1b617f5ab23c,0.0,0.0,15.0
29d3a6e17d9280f3,008dd8d72f0aa5a6,0.0,0.0,7.0
2a1e1735c0b6bd3a,6baa2b075fd0d951,0.0,0.0,5.0
2aa0c00a22603ebe,eb95c42ff3639526,0.0,0.0,5.0
2b1afe9ffe3cc5d1,6784603aaa3850da,0.0,0.0,7.0
2b5c6e0bee15a341,a8be3368aee10112,0.0,0.0,5.0
2b7c42c9a056cf29,ef688a374f3b61ec,0.0,0.0,5.0
2bc5303ea29d5546,e4d83faf0788ef28,0.0,0.0,15.0
2bd823fbee69903b,ba75bba420aeb33e,0.0,0.0,5.0
2be13cdcc640d7d7,e3bce8097928f168,0.0,0.0,7.0
2bf628a3bf08fd64,3823d29f14ac1092,0.0,0.0,7.0
2c45403d05cea4f9,746442b180b34d41,0.0,0.0,5.0
2c7769ee2941ae05,de1223e05a8a1a2e,0.0,0.0,10.0
2c825527e49fb2e0,1416fdca53de2197,0.0,0.0,10.0
2c85340e2772ddf4,2e389957299c15fe,0.0,0.0,14.0
2ca7b79b1eec5ccf,ee173a0a8a467771,0.0,0.0,13.8
2ccefad550a9e7ac,2a9c21643afb97c4,0.0,0.0,10.0
2cdd0a4ff4e7544c,46fd93c2c6e607ad,0.0,0.0,5.0
2d0bd1c259631873,0d8737cade4223d2,0.0,0.0,5.0
2d1123b5f2433b6b,e92081f48df5f529,0.0,0.0,14.0
2d29d8e451fa2e36,97e650ffd5acb77c,0.0,0.0,10.0
2d6b3fbcfeaf7d93,6455e73ac01163fe,0.0,0.0,14.0
2d6ca755679310d9,2362160dd02b85a2,0.0,0.0,7.0
2d77bc1715be7430,9edb198aab3d6f40,0.0,0.0,7.0
2e559a56af71e1b2,a102d3b9d8f4e13f,0.0,0.0,5.0
2e6341a86f89fd8f,c5c2fa997a8c7be3,0.0,0.0,10.0
2e9084c723d8385a,4cad2b7f4e4a8c4b,0.0,0.0,5.0
2f8eb3a71aaad3d3,9f2434d40fd06e02,0.0,0.0,7.0
2f9046ca0fa0d49a,053f5aa1dce322f0,0.0,0.0,5.0
2fddc900384796de,ff6a56c905986a05,0.0,0.0,4.6
2fe4d09deb1b1e05,7bf6a903ee89438e,0.0,0.0,10.0
2ff33eeaf12f566d,36a77b1b7c48b3cc,0.0,0.0,14.0
3000c7e2abe3cb51,804fc2f505407f25,0.0,0.0,5.0
30132216d23c631e,38dc32d900b425a3,0.0,0.0,15.0
30671c85d5c77069,3fd45d89e18ee245,0.0,0.0,10.0
30ab83f192e1d390,1717dc2887fd38ff,0.0,0.0,10.0
30becdf9fa77997c,42df24d017287e6d,0.0,0.0,14.0
3103c07b9aa91dcc,eade210fe0801a47,0.0,0.0,10.0
311e5958bf68921a,439dddfd012716e7,0.0,0.0,5.0
3143f17284b3e6cc,7a8cbb06e53bc2f0,0.0,0.0,10.0
3191185130a9919c,8da0431b15abad89,0.0,0.0,15.0
31a11b95ea755e43,fd68e55a667f094f,0.0,0.0,10.0
31a9fe01484c9899,31ee4aa1e15238ad,0.0,0.0,4.6
31ec5ab9f0ccdb85,f53ab396f7f70a55,0.0,0.0,5.0
320fdfd93e15cfe6,096bd28812884a1a,0.0,0.0,10.0
329596b9ed1da40a,f554d78352db7a77,0.0,0.0,5.0
334be6aae5421fea,b5f1736bea02812f,0.0,0.0,5.0
3357bec178a91d51,bc9d44095dcba204,0.0,0.0,5.0
3361e810089819e3,001e5d5c14777688,0.0,0.0,5.0
33d7d2a91443f60e,14d35a6ef99629c0,0.0,0.0,15.0
347cc86d0fa2fd69,8e52511bfbe76a79,0.0,0.0,7.0
348d1f7523e70268,69565e4cecd10b80,0.0,0.0,7.0
34dc26162cec4734,147055e519534a40,0.0,0.0,14.0
3526b5e59f3de14e,5116323b1cd6e6a0,0.0,0.0,7.0
3542e4b9b53ab588,4d8e6f52e92b9081,0.0,0.0,10.0
355bf3b964cf3f4a,4220e054cc3efffa,0.0,0.0,5.0
3575be83363b7e8b,d9b1b95dc066541c,0.0,0.0,15.0
3595bc5a3aeefd1c,5106e1f2e64e0162,0.0,0.0,5.0
359c2afa9da571dc,1e8ead7c208a1ac6,0.0,0.0,15.0
35b89798496600d6,fa477324659fd48d,0.0,0.0,7.0
36d1140aaba56bfe,01b38a0fafcd7b66,0.0,0.0,14.0
371734733c305044,df8d9a6bbe1228c3,0.0,0.0,5.0
